,CustomerID,recency,frequency,monetary_value
0,16250,9700860,24,389.44
1,15574,16947300,168,702.2500000000002
2,15555,31218780,925,4758.200000000001
3,15271,31643100,275,2485.8199999999997
4,17714,4586760,10,153.0
5,17757,32166300,742,5585.489999999999
6,17551,1230360,43,306.84
7,13187,3148260,37,236.01999999999995
8,16549,31387200,981,4154.640000000001
9,12637,26457600,394,5953.250000000002
10,15052,4692360,30,215.78
11,14525,31537620,298,4221.37
12,18283,31980960,756,2094.8799999999997
13,13107,28448760,60,1524.07
14,16303,30075780,167,5305.830000000002
15,13174,30866940,314,2817.0300000000016
16,13027,22468380,26,6912.0
17,12957,31910760,244,3979.0399999999995
18,17128,3382560,14,157.09
19,14439,4677180,32,2661.24
20,14810,28781580,255,2087.88
21,16654,20069820,31,594.97
22,17491,32169120,110,3541.92
23,17917,28356840,94,341.28
24,14639,27758400,175,2952.3399999999997
25,17375,15843840,71,372.5
26,18106,3815820,39,430.6999999999999
27,13700,29997240,197,2265.12
28,16133,31978680,365,14305.659999999998
29,17855,91080,17,208.96999999999997
30,15107,5379600,20,247.65999999999997
31,14443,27654240,98,1400.8799999999999
32,12386,3125460,10,401.90000000000003
33,13672,6240540,16,-71.45999999999998
34,18161,31389120,81,1612.7900000000002
35,14236,25318020,15,490.86000000000007
36,17211,29993820,213,2299.6700000000005
37,13030,31298640,99,799.4799999999999
38,14618,31468740,17,538.5899999999999
39,14896,14608440,43,468.77
40,17033,24818880,28,1030.1399999999999
41,17744,31981500,137,2291.08
42,18223,32153100,299,6315.2300000000005
43,15845,30762960,140,3650.8700000000003
44,13451,30007920,444,2916.4500000000007
45,12643,21184200,24,3344.6400000000003
46,12437,32152140,201,4896.66
47,14114,8644560,15,386.53000000000003
48,13929,17650800,10,802.8499999999999
49,14701,31378320,350,2486.2199999999993
50,15100,3746580,6,635.1
51,13065,30360,14,205.85999999999999
52,16510,105180,13,248.10000000000002
53,13520,27222840,95,3487.75
54,16255,30860040,274,2609.3
55,17303,1055160,53,250.03999999999994
56,14672,12016380,61,765.5500000000002
57,16085,30257880,167,981.5100000000001
58,13328,4949760,17,1308.48
59,12763,20324760,18,494.08
60,13126,31887240,142,2056.29
61,17179,16878120,80,711.79
62,12944,29212680,30,604.51
63,12838,29390040,123,683.1299999999999
64,15899,439800,4,56.25
65,16705,32240520,284,13946.130000000001
66,16735,25500180,128,2269.21
67,17884,31979220,117,717.4499999999999
68,16519,30093300,13,215.08
69,16503,23080800,86,1421.43
70,16401,32176140,198,4061.24
71,16918,28009440,130,1043.3400000000001
72,14217,32153220,107,1925.3600000000001
73,13246,30702240,143,1922.1
74,15350,18420,5,115.65
75,12472,29646420,391,6229.48
76,15235,13483080,143,2247.51
77,18113,446700,1,76.32000000000001
78,16081,27405600,227,2806.9
79,17671,30945300,61,1284.08
80,13999,31382040,212,3865.26
81,13144,3552540,3,110.94999999999999
82,17769,31200720,313,3960.6299999999997
83,12808,29122740,28,483.65
84,12913,31895100,50,2483.63
85,12429,31481760,97,3750.4
86,15211,27061500,52,894.4100000000001
87,14210,24380940,103,1900.89
88,16779,32077680,344,10454.05
89,17790,29991840,190,1965.55
90,14737,31974600,17,1164.55
91,14295,28797840,7,154.7
92,15544,31539000,261,3542.5099999999998
93,12967,31989180,33,1194.75
94,13769,32078520,143,2771.8700000000003
95,15180,541860,6,87.5
96,14419,31373760,206,1058.06
97,17220,30172860,472,3198.25
98,13178,30008880,265,5725.469999999999
99,13304,1922940,21,300.4199999999999
100,16748,30765060,69,1515.9
101,14090,4242300,1,76.32000000000001
102,15012,27662160,128,423.0399999999999
103,17961,30443340,249,1296.4399999999998
104,15353,10295340,63,777.02
105,18178,22457280,99,1573.41
106,13148,29746620,347,3348.4800000000005
