,recency,frequency,monetary_value,CustomerID
0,9700860,24,389.44,16250
1,16947300,168,702.2500000000002,15574
2,31218780,925,4758.200000000001,15555
3,31643100,275,2485.8199999999997,15271
4,4586760,10,153.0,17714
5,32166300,742,5585.489999999999,17757
6,1230360,43,306.84,17551
7,3148260,37,236.01999999999995,13187
8,31387200,981,4154.640000000001,16549
9,26457600,394,5953.250000000002,12637
10,4692360,30,215.78,15052
11,31537620,298,4221.37,14525
12,31980960,756,2094.8799999999997,18283
13,28448760,60,1524.07,13107
14,30075780,167,5305.830000000002,16303
15,30866940,314,2817.0300000000016,13174
16,22468380,26,6912.0,13027
17,31910760,244,3979.0399999999995,12957
18,3382560,14,157.09,17128
19,4677180,32,2661.24,14439
20,28781580,255,2087.88,14810
21,20069820,31,594.97,16654
22,32169120,110,3541.92,17491
23,28356840,94,341.28,17917
24,27758400,175,2952.3399999999997,14639
25,15843840,71,372.5,17375
26,3815820,39,430.6999999999999,18106
27,29997240,197,2265.12,13700
28,31978680,365,14305.659999999998,16133
29,91080,17,208.96999999999997,17855
30,5379600,20,247.65999999999997,15107
31,27654240,98,1400.8799999999999,14443
32,3125460,10,401.90000000000003,12386
33,6240540,16,-71.45999999999998,13672
34,31389120,81,1612.7900000000002,18161
35,25318020,15,490.86000000000007,14236
36,29993820,213,2299.6700000000005,17211
37,31298640,99,799.4799999999999,13030
38,31468740,17,538.5899999999999,14618
39,14608440,43,468.77,14896
40,24818880,28,1030.1399999999999,17033
41,31981500,137,2291.08,17744
42,32153100,299,6315.2300000000005,18223
43,30762960,140,3650.8700000000003,15845
44,30007920,444,2916.4500000000007,13451
45,21184200,24,3344.6400000000003,12643
46,32152140,201,4896.66,12437
47,8644560,15,386.53000000000003,14114
48,17650800,10,802.8499999999999,13929
49,31378320,350,2486.2199999999993,14701
50,3746580,6,635.1,15100
51,30360,14,205.85999999999999,13065
52,105180,13,248.10000000000002,16510
53,27222840,95,3487.75,13520
54,30860040,274,2609.3,16255
55,1055160,53,250.03999999999994,17303
56,12016380,61,765.5500000000002,14672
57,30257880,167,981.5100000000001,16085
58,4949760,17,1308.48,13328
59,20324760,18,494.08,12763
60,31887240,142,2056.29,13126
61,16878120,80,711.79,17179
62,29212680,30,604.51,12944
